Country,Units,Scale,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Estimates Start After
Libya,U.S. dollars,Units,"7,625.01","6,693.08","3,956.48","4,986.33","6,180.39","8,739.20","10,561.37","11,801.27","14,762.58","10,202.81","12,478.02","8,132.32","14,728.07","12,025.60","9,166.56","7,706.74",2019
Lithuania,U.S. dollars,Units,"3,293.31","3,525.85","4,140.73","5,499.48","6,699.37","7,860.18","9,236.62","12,305.92","15,017.56","11,848.20","12,009.03","14,393.27","14,376.00","15,734.38","16,577.33","14,265.41",2022
Luxembourg,U.S. dollars,Units,"48,984.17","48,719.31","53,227.77","66,160.73","77,030.37","81,728.09","91,478.34","108,344.14","121,616.15","110,249.42","112,049.15","120,526.52","113,953.74","121,422.92","125,200.14","106,710.47",2022
Macao SAR,U.S. dollars,Units,n/a,"15,723.75","16,733.98","18,461.84","23,005.59","25,109.97","28,970.43","34,268.70","38,286.23","39,822.35","51,135.16","66,111.72","74,209.14","84,833.69","86,298.09","69,647.78",2021
Madagascar,U.S. dollars,Units,307.335,350.5,334.838,387.055,298.635,335.388,355.397,459.855,561.654,488.901,492.67,553.45,538.541,560.939,548.905,481.807,2018
Malawi,U.S. dollars,Units,352.65,338.478,384.137,345.163,365.696,377.042,400.898,432.115,504.65,571.113,623.414,695.331,506.3,446.999,484.322,497.737,2016
Malaysia,U.S. dollars,Units,"4,347.73","4,189.05","4,441.82","4,740.32","5,244.87","5,678.33","6,351.13","7,480.89","8,766.18","7,543.88","9,046.98","10,397.90","10,806.82","10,851.66","11,165.25","9,663.12",2022
Maldives,U.S. dollars,Units,"2,967.25","2,780.45","2,952.22","3,690.79","4,238.04","3,960.43","5,268.79","6,128.48","7,337.95","7,450.81","8,086.70","8,078.31","8,719.58","9,766.24","10,787.47","11,781.03",2014
Mali,U.S. dollars,Units,263.615,299.414,326.736,381.853,427.523,474.257,506.939,579.325,678.346,681.803,688.89,810.04,753.869,778.808,818.665,723.581,2022
Malta,U.S. dollars,Units,"10,482.00","10,447.79","11,346.46","13,730.31","15,260.89","15,930.14","16,818.01","19,696.18","22,378.18","21,223.68","21,842.07","23,222.39","22,674.79","24,972.68","27,080.10","25,228.18",2022
Marshall Islands,U.S. dollars,Units,"2,242.87","2,422.93","2,655.59","2,625.24","2,634.42","2,689.53","2,772.86","2,893.43","2,781.61","2,881.21","3,029.42","3,236.51","3,429.32","3,584.07","3,638.81","3,669.53",2022
